,close,high,low,open,tradeTime,tradeTimeinMills,volume
0,149.0100,149.0100,149.0000,149.0000,2019-08-01 06:30:00,1564655400000,200
1,149.6200,149.7500,149.6200,149.7500,2019-08-01 06:47:00,1564656420000,100
2,149.5700,149.5700,149.5700,149.5700,2019-08-01 06:49:00,1564656540000,0
3,149.9300,149.9300,149.9300,149.9300,2019-08-01 06:51:00,1564656660000,100
4,149.4200,149.4200,149.4200,149.4200,2019-08-01 07:00:00,1564657200000,100
5,149.3200,149.3200,149.3200,149.3200,2019-08-01 07:14:00,1564658040000,100
6,149.2700,149.2700,149.2700,149.2700,2019-08-01 07:24:00,1564658640000,0
7,149.1700,149.1800,149.1700,149.1800,2019-08-01 07:43:00,1564659780000,200
8,149.1200,149.1200,149.1200,149.1200,2019-08-01 07:44:00,1564659840000,0
9,149.0300,149.0300,149.0300,149.0300,2019-08-01 08:08:00,1564661280000,564
10,149.0300,149.0300,149.0300,149.0300,2019-08-01 08:17:00,1564661820000,200
11,149.0300,149.0300,149.0300,149.0300,2019-08-01 08:22:00,1564662120000,100
12,149.0300,149.0300,149.0300,149.0300,2019-08-01 08:28:00,1564662480000,400
13,148.9700,149.0000,148.9700,149.0000,2019-08-01 08:30:00,1564662600000,1137
14,148.8700,148.9200,148.8700,148.9200,2019-08-01 08:31:00,1564662660000,0
15,148.8200,148.8200,148.8200,148.8200,2019-08-01 08:45:00,1564663500000,100
16,148.7000,148.7000,148.7000,148.7000,2019-08-01 09:06:00,1564664760000,100
17,148.7000,148.7000,148.7000,148.7000,2019-08-01 09:08:00,1564664880000,200
18,148.5200,148.5200,148.5200,148.5200,2019-08-01 09:17:00,1564665420000,100
19,148.3500,148.3700,148.3500,148.3700,2019-08-01 09:21:00,1564665660000,950
20,148.7600,148.9116,148.5000,148.9000,2019-08-01 09:30:00,1564666200000,68037
21,149.3810,149.6500,148.6970,148.8700,2019-08-01 09:31:00,1564666260000,23202
22,149.2200,149.3291,149.0200,149.2400,2019-08-01 09:32:00,1564666320000,3718
23,149.4000,149.4800,149.1400,149.2000,2019-08-01 09:33:00,1564666380000,7624
