,close,high,low,open,tradeTime,tradeTimeinMills,volume
0,104.1200,104.1200,104.1200,104.1200,20190820083000,1566304200000,335
1,104.0000,104.0000,104.0000,104.0000,20190820083400,1566304440000,500
2,103.4500,103.4500,103.4500,103.4500,20190820084200,1566304920000,202
3,103.6000,103.6000,103.6000,103.6000,20190820091100,1566306660000,0
4,103.3000,103.3100,103.3000,103.3100,20190820092000,1566307200000,135
5,103.0200,103.0200,103.0200,103.0200,20190820092900,1566307740000,300
6,103.0400,103.2400,102.6000,103.0200,20190820093000,1566307800000,36318
7,102.9400,103.1800,102.8700,103.1500,20190820093100,1566307860000,3611
8,102.8500,103.1000,102.7500,103.0800,20190820093200,1566307920000,3626
9,102.9500,103.0500,102.8000,102.8000,20190820093300,1566307980000,3600
10,103.0000,103.0700,102.9200,102.9600,20190820093400,1566308040000,1200
11,102.9450,103.1100,102.9400,103.0200,20190820093500,1566308100000,1300
12,103.2500,103.2500,102.8600,102.8700,20190820093600,1566308160000,3135
13,103.2687,103.3700,103.1200,103.2800,20190820093700,1566308220000,3288
14,103.3100,103.3100,103.1900,103.2400,20190820093800,1566308280000,7696
15,103.5600,103.5600,103.3300,103.3800,20190820093900,1566308340000,7610
16,103.3700,103.5499,103.3700,103.4900,20190820094000,1566308400000,2417
17,103.1500,103.1500,102.9700,103.1000,20190820094100,1566308460000,1260
18,103.3700,103.4800,103.1700,103.2100,20190820094200,1566308520000,2466
19,103.5400,103.5400,103.4200,103.4200,20190820094300,1566308580000,500
20,103.7600,103.7600,103.5250,103.5250,20190820094400,1566308640000,1904
21,103.4450,103.7300,103.3700,103.6500,20190820094500,1566308700000,4300
22,103.4675,103.6500,103.4400,103.5800,20190820094600,1566308760000,2626
23,103.4200,103.4600,103.3800,103.4600,20190820094700,1566308820000,700
24,103.2000,103.4500,103.2000,103.4400,20190820094800,1566308880000,1600
25,103.2900,103.3100,103.1800,103.2500,20190820094900,1566308940000,2800
26,103.1900,103.3000,103.1700,103.2000,20190820095000,1566309000000,5000
27,103.1200,103.3100,103.0700,103.2200,20190820095100,1566309060000,2260
28,103.0700,103.1550,103.0600,103.1000,20190820095200,1566309120000,1230
29,103.3100,103.3200,102.9900,102.9900,20190820095300,1566309180000,3572
30,103.1950,103.1950,103.1900,103.1900,20190820095400,1566309240000,400
31,103.2700,103.2700,103.1350,103.1625,20190820095500,1566309300000,1000
32,103.2850,103.3150,103.2200,103.3150,20190820095600,1566309360000,4961
33,103.1500,103.2400,103.1200,103.2000,20190820095700,1566309420000,2800
34,103.2000,103.2800,103.1900,103.1900,20190820095800,1566309480000,1400
35,103.2100,103.2850,103.1700,103.2800,20190820095900,1566309540000,2935
36,103.1600,103.2600,103.0501,103.2600,20190820100000,1566309600000,5240
37,103.1000,103.1700,103.0400,103.1600,20190820100100,1566309660000,3000
38,103.1800,103.2350,103.1200,103.2000,20190820100200,1566309720000,3063
39,103.3100,103.3100,103.1300,103.1850,20190820100300,1566309780000,1324
40,103.3100,103.3100,103.2200,103.2600,20190820100400,1566309840000,2753
41,103.5000,103.5000,103.3800,103.3800,20190820100500,1566309900000,500
42,103.4900,103.5600,103.4800,103.5600,20190820100600,1566309960000,1600
43,103.4950,103.5600,103.4500,103.5000,20190820100700,1566310020000,1169
44,103.6100,103.6100,103.5000,103.5000,20190820100800,1566310080000,700
45,103.7200,103.7200,103.5300,103.6000,20190820100900,1566310140000,4278
46,103.8520,103.9300,103.7600,103.7799,20190820101000,1566310200000,1903
47,103.9200,103.9200,103.8100,103.8300,20190820101100,1566310260000,1400
48,103.7800,103.9300,103.7800,103.8775,20190820101200,1566310320000,7264
49,103.6800,103.7700,103.6300,103.7400,20190820101300,1566310380000,2995
50,103.6750,103.7000,103.6200,103.6750,20190820101400,1566310440000,2336
51,103.7500,103.7900,103.6750,103.6750,20190820101500,1566310500000,1400
52,103.7050,103.8000,103.6500,103.8000,20190820101600,1566310560000,1537
53,103.8650,103.9000,103.6950,103.7100,20190820101700,1566310620000,3189
54,103.8100,103.9000,103.8100,103.8300,20190820101800,1566310680000,500
55,103.8150,103.8316,103.7700,103.7900,20190820101900,1566310740000,1648
56,103.7796,103.9300,103.7796,103.8800,20190820102000,1566310800000,3639
57,103.8300,103.8300,103.7300,103.7700,20190820102100,1566310860000,1200
58,103.7200,103.8000,103.7200,103.7800,20190820102200,1566310920000,2503
59,103.7350,103.7600,103.7000,103.7250,20190820102300,1566310980000,1350
60,103.6800,103.7700,103.6800,103.7300,20190820102400,1566311040000,1000
61,103.6100,103.6850,103.5800,103.6850,20190820102500,1566311100000,1700
62,103.6500,103.6600,103.5900,103.6100,20190820102600,1566311160000,1100
63,103.6450,103.6450,103.6100,103.6100,20190820102700,1566311220000,300
64,103.7050,103.7350,103.7000,103.7321,20190820102800,1566311280000,2400
65,103.6700,103.6800,103.6400,103.6600,20190820102900,1566311340000,1000
66,103.5200,103.6800,103.5200,103.6101,20190820103000,1566311400000,2850
67,103.5900,103.6000,103.5500,103.5700,20190820103100,1566311460000,1500
68,103.5400,103.5600,103.5000,103.5600,20190820103200,1566311520000,600
69,103.5800,103.5800,103.5800,103.5800,20190820103300,1566311580000,100
70,103.5200,103.6000,103.5200,103.5800,20190820103400,1566311640000,2470
71,103.5900,103.5900,103.4600,103.5200,20190820103500,1566311700000,2978
72,103.6100,103.6200,103.5700,103.5700,20190820103600,1566311760000,1200
73,103.5700,103.5700,103.5700,103.5700,20190820103700,1566311820000,100
74,103.6100,103.7300,103.6100,103.6600,20190820103800,1566311880000,2300
75,103.5850,103.6700,103.5800,103.6350,20190820103900,1566311940000,1200
76,103.5150,103.5250,103.4600,103.5100,20190820104000,1566312000000,11886
77,103.4100,103.5350,103.4100,103.4900,20190820104100,1566312060000,1600
78,103.4100,103.4300,103.3400,103.3400,20190820104200,1566312120000,800
79,103.5300,103.5300,103.4150,103.4350,20190820104300,1566312180000,900
80,103.5400,103.5400,103.4600,103.5000,20190820104400,1566312240000,757
81,103.5200,103.5400,103.4900,103.5400,20190820104500,1566312300000,500
82,103.5200,103.5200,103.4700,103.5150,20190820104600,1566312360000,600
83,103.6400,103.6500,103.5650,103.5700,20190820104700,1566312420000,1601
84,103.6650,103.7600,103.6500,103.6500,20190820104800,1566312480000,1700
85,103.6300,103.6750,103.6000,103.6600,20190820104900,1566312540000,2500
86,103.6100,103.6400,103.5600,103.6100,20190820105000,1566312600000,2600
87,103.6500,103.6500,103.6100,103.6300,20190820105100,1566312660000,600
88,103.7345,103.7345,103.6500,103.6500,20190820105200,1566312720000,2268
89,103.7550,103.7893,103.7200,103.7300,20190820105300,1566312780000,1954
90,103.8000,103.8000,103.6750,103.7550,20190820105400,1566312840000,6772
91,103.8150,103.8350,103.8150,103.8350,20190820105500,1566312900000,300
92,103.7650,103.7800,103.7400,103.7500,20190820105600,1566312960000,5114
93,103.7500,103.7950,103.7500,103.7950,20190820105700,1566313020000,900
94,103.7850,103.7850,103.7500,103.7800,20190820105800,1566313080000,1400
95,103.7900,103.8250,103.7650,103.7900,20190820105900,1566313140000,1900
96,103.8750,103.8750,103.8200,103.8500,20190820110000,1566313200000,900
97,103.8650,103.9000,103.8500,103.9000,20190820110100,1566313260000,2200
