,close,high,low,open,tradeTime,tradeTimeinMills,volume
0,97.6050,97.6050,97.0900,97.5000,2019-05-01 09:30:00,1556717400000,18697
1,97.5800,97.6400,97.5400,97.6000,2019-05-01 09:31:00,1556717460000,3363
2,97.5000,97.6400,97.4100,97.6400,2019-05-01 09:32:00,1556717520000,1300
3,97.3400,97.4900,97.3400,97.4900,2019-05-01 09:33:00,1556717580000,1413
4,97.3100,97.5000,97.3000,97.5000,2019-05-01 09:34:00,1556717640000,1181
5,97.2500,97.3800,97.2500,97.2900,2019-05-01 09:35:00,1556717700000,8528
6,97.2300,97.2300,97.2300,97.2300,2019-05-01 09:36:00,1556717760000,139
7,97.2200,97.2300,97.2000,97.2300,2019-05-01 09:37:00,1556717820000,1323
8,97.2200,97.2200,97.1000,97.1800,2019-05-01 09:38:00,1556717880000,2100
9,97.2550,97.2600,97.2300,97.2300,2019-05-01 09:39:00,1556717940000,2200
10,97.2100,97.2822,97.2100,97.2822,2019-05-01 09:40:00,1556718000000,1401
11,97.1200,97.1400,97.1200,97.1400,2019-05-01 09:41:00,1556718060000,400
12,97.0300,97.1000,97.0300,97.0900,2019-05-01 09:42:00,1556718120000,1200
13,97.0600,97.1100,97.0500,97.0600,2019-05-01 09:43:00,1556718180000,1300
14,96.9700,97.1000,96.9700,97.1000,2019-05-01 09:44:00,1556718240000,3559
15,97.0300,97.0700,96.9500,96.9700,2019-05-01 09:45:00,1556718300000,1134
16,96.9500,97.0200,96.9200,96.9800,2019-05-01 09:46:00,1556718360000,1700
17,96.8850,96.9300,96.8700,96.9300,2019-05-01 09:47:00,1556718420000,960
18,96.9900,96.9900,96.8500,96.8750,2019-05-01 09:48:00,1556718480000,1800
19,96.9300,97.0300,96.9300,97.0075,2019-05-01 09:49:00,1556718540000,6164
20,96.7900,96.8800,96.7900,96.8800,2019-05-01 09:50:00,1556718600000,3120
21,96.7487,96.8050,96.7000,96.8050,2019-05-01 09:51:00,1556718660000,4235
22,96.7600,96.7900,96.7400,96.7500,2019-05-01 09:52:00,1556718720000,2100
23,96.6450,96.6900,96.6200,96.6800,2019-05-01 09:53:00,1556718780000,2730
24,96.6150,96.6350,96.5800,96.6350,2019-05-01 09:54:00,1556718840000,1426
25,96.6400,96.6800,96.6235,96.6600,2019-05-01 09:55:00,1556718900000,4063
26,96.6500,96.6650,96.6100,96.6250,2019-05-01 09:56:00,1556718960000,4439
27,96.6100,96.6900,96.6100,96.6600,2019-05-01 09:57:00,1556719020000,4761
28,96.6000,96.6450,96.5900,96.6400,2019-05-01 09:58:00,1556719080000,1900
29,96.5400,96.5800,96.5400,96.5800,2019-05-01 09:59:00,1556719140000,1096
30,96.6000,96.6000,96.4038,96.5300,2019-05-01 10:00:00,1556719200000,7901
31,96.4900,96.6200,96.4900,96.6000,2019-05-01 10:01:00,1556719260000,1800
32,96.5700,96.5700,96.4700,96.4800,2019-05-01 10:02:00,1556719320000,1618
33,96.5100,96.5850,96.5100,96.5850,2019-05-01 10:03:00,1556719380000,1340
34,96.5300,96.5300,96.4500,96.5100,2019-05-01 10:04:00,1556719440000,1645
35,96.4700,96.5100,96.4400,96.5100,2019-05-01 10:05:00,1556719500000,1507
36,96.5250,96.5250,96.4800,96.4800,2019-05-01 10:06:00,1556719560000,200
37,96.5300,96.5700,96.5150,96.5150,2019-05-01 10:07:00,1556719620000,2144
38,96.5700,96.5700,96.5700,96.5700,2019-05-01 10:08:00,1556719680000,100
39,96.6200,96.6500,96.6050,96.6050,2019-05-01 10:09:00,1556719740000,1827
40,96.5100,96.6800,96.5100,96.6400,2019-05-01 10:10:00,1556719800000,6951
41,96.4900,96.5137,96.4900,96.5000,2019-05-01 10:11:00,1556719860000,1407
42,96.5350,96.5500,96.5350,96.5474,2019-05-01 10:12:00,1556719920000,1000
43,96.5600,96.5600,96.5450,96.5500,2019-05-01 10:13:00,1556719980000,1300
44,96.5450,96.5700,96.5400,96.5400,2019-05-01 10:14:00,1556720040000,800
45,96.5750,96.5750,96.5500,96.5500,2019-05-01 10:15:00,1556720100000,500
46,96.5800,96.5800,96.5500,96.5500,2019-05-01 10:16:00,1556720160000,600
47,96.5500,96.5700,96.5000,96.5700,2019-05-01 10:17:00,1556720220000,1345
48,96.6400,96.6400,96.5500,96.5500,2019-05-01 10:18:00,1556720280000,858
49,96.6250,96.6400,96.6100,96.6400,2019-05-01 10:19:00,1556720340000,3738
50,96.5750,96.6100,96.5750,96.6100,2019-05-01 10:20:00,1556720400000,200
51,96.5950,96.6300,96.5700,96.5700,2019-05-01 10:21:00,1556720460000,1394
52,96.6000,96.6200,96.5700,96.5950,2019-05-01 10:22:00,1556720520000,3600
53,96.6100,96.6400,96.6000,96.6000,2019-05-01 10:23:00,1556720580000,1330
54,96.6200,96.6300,96.5850,96.5900,2019-05-01 10:24:00,1556720640000,1672
55,96.5550,96.6100,96.5550,96.5900,2019-05-01 10:25:00,1556720700000,3114
56,96.5700,96.5900,96.5500,96.5600,2019-05-01 10:26:00,1556720760000,1200
57,96.5800,96.6100,96.5800,96.5900,2019-05-01 10:27:00,1556720820000,700
58,96.6000,96.6000,96.5650,96.5745,2019-05-01 10:28:00,1556720880000,1607
59,96.5600,96.6000,96.5600,96.6000,2019-05-01 10:29:00,1556720940000,1100
60,96.5450,96.5550,96.5300,96.5400,2019-05-01 10:30:00,1556721000000,2148
61,96.5650,96.5650,96.5350,96.5350,2019-05-01 10:31:00,1556721060000,800
62,96.5400,96.5500,96.5350,96.5500,2019-05-01 10:32:00,1556721120000,1417
63,96.5200,96.5300,96.5200,96.5300,2019-05-01 10:33:00,1556721180000,700
64,96.5100,96.5300,96.4800,96.5300,2019-05-01 10:34:00,1556721240000,1000
65,96.5700,96.5700,96.5000,96.5000,2019-05-01 10:35:00,1556721300000,1000
66,96.5800,96.5800,96.5500,96.5500,2019-05-01 10:36:00,1556721360000,300
67,96.6200,96.6200,96.5800,96.5800,2019-05-01 10:37:00,1556721420000,2853
68,96.5700,96.6200,96.5700,96.6200,2019-05-01 10:38:00,1556721480000,2900
69,96.5700,96.5900,96.5700,96.5800,2019-05-01 10:39:00,1556721540000,1699
70,96.5700,96.5900,96.5700,96.5750,2019-05-01 10:40:00,1556721600000,1300
71,96.5850,96.6000,96.5600,96.5600,2019-05-01 10:41:00,1556721660000,2100
72,96.5550,96.5700,96.5550,96.5667,2019-05-01 10:42:00,1556721720000,3499
73,96.5300,96.5400,96.5300,96.5400,2019-05-01 10:43:00,1556721780000,500
74,96.5600,96.5700,96.5400,96.5400,2019-05-01 10:44:00,1556721840000,1400
75,96.5600,96.6100,96.5500,96.5500,2019-05-01 10:45:00,1556721900000,1697
76,96.5400,96.5500,96.5400,96.5500,2019-05-01 10:46:00,1556721960000,300
77,96.4800,96.5300,96.4700,96.5200,2019-05-01 10:47:00,1556722020000,900
78,96.4650,96.4650,96.4500,96.4500,2019-05-01 10:48:00,1556722080000,1085
79,96.4450,96.4650,96.4450,96.4650,2019-05-01 10:49:00,1556722140000,300
80,96.4500,96.4500,96.4200,96.4450,2019-05-01 10:50:00,1556722200000,1032
81,96.4750,96.4800,96.4500,96.4500,2019-05-01 10:51:00,1556722260000,1524
82,96.4600,96.4850,96.4600,96.4800,2019-05-01 10:52:00,1556722320000,700
83,96.4750,96.4750,96.4700,96.4700,2019-05-01 10:53:00,1556722380000,452
84,96.5200,96.5200,96.4800,96.4800,2019-05-01 10:54:00,1556722440000,800
85,96.5000,96.5000,96.4900,96.5000,2019-05-01 10:55:00,1556722500000,500
86,96.5100,96.5600,96.5000,96.5600,2019-05-01 10:56:00,1556722560000,2977
87,96.5100,96.5200,96.5000,96.5100,2019-05-01 10:57:00,1556722620000,1500
88,96.5400,96.5400,96.5150,96.5200,2019-05-01 10:58:00,1556722680000,600
89,96.5200,96.5400,96.5200,96.5400,2019-05-01 10:59:00,1556722740000,300
90,96.5200,96.5300,96.5000,96.5300,2019-05-01 11:00:00,1556722800000,1400
91,96.5100,96.5200,96.5000,96.5000,2019-05-01 11:01:00,1556722860000,1500
92,96.5500,96.5600,96.5200,96.5200,2019-05-01 11:02:00,1556722920000,2041
93,96.6100,96.6100,96.5500,96.5500,2019-05-01 11:03:00,1556722980000,1565
94,96.6250,96.6438,96.6250,96.6300,2019-05-01 11:04:00,1556723040000,5888
95,96.6400,96.6550,96.6250,96.6400,2019-05-01 11:05:00,1556723100000,1900
96,96.5750,96.6300,96.5750,96.6300,2019-05-01 11:06:00,1556723160000,1100
97,96.5750,96.5950,96.5700,96.5700,2019-05-01 11:07:00,1556723220000,1942
98,96.5550,96.5900,96.5550,96.5750,2019-05-01 11:08:00,1556723280000,500
99,96.5750,96.5800,96.5400,96.5400,2019-05-01 11:09:00,1556723340000,2500
100,96.5800,96.6000,96.5700,96.5700,2019-05-01 11:10:00,1556723400000,4350
101,96.5900,96.5900,96.5700,96.5700,2019-05-01 11:11:00,1556723460000,588
102,96.6000,96.6100,96.6000,96.6000,2019-05-01 11:12:00,1556723520000,700
103,96.6750,96.6850,96.6200,96.6200,2019-05-01 11:13:00,1556723580000,5900
104,96.6863,96.7200,96.6600,96.6800,2019-05-01 11:14:00,1556723640000,2298
105,96.7860,96.7860,96.7200,96.7200,2019-05-01 11:15:00,1556723700000,765
106,96.7800,96.8100,96.7688,96.7700,2019-05-01 11:16:00,1556723760000,2300
107,96.7700,96.7700,96.7600,96.7700,2019-05-01 11:17:00,1556723820000,800
108,96.7570,96.7570,96.7100,96.7300,2019-05-01 11:18:00,1556723880000,800
109,96.7300,96.7500,96.7150,96.7500,2019-05-01 11:19:00,1556723940000,1000
110,96.7300,96.7400,96.7250,96.7300,2019-05-01 11:20:00,1556724000000,1200
