,close,high,low,open,tradeTime,tradeTimeinMills,volume
0,54.8300,54.9000,54.7900,54.8000,2019-05-01 09:30:00,1556717400000,52415
1,54.8700,54.8800,54.8100,54.8800,2019-05-01 09:31:00,1556717460000,2354
2,54.7300,54.8550,54.6800,54.8550,2019-05-01 09:32:00,1556717520000,8379
3,54.6140,54.7300,54.6140,54.7100,2019-05-01 09:33:00,1556717580000,1745
4,54.5600,54.6500,54.5600,54.6200,2019-05-01 09:34:00,1556717640000,9426
5,54.5650,54.6000,54.5500,54.5600,2019-05-01 09:35:00,1556717700000,3125
6,54.5900,54.5900,54.5600,54.5800,2019-05-01 09:36:00,1556717760000,3200
7,54.5900,54.5900,54.5600,54.5700,2019-05-01 09:37:00,1556717820000,2900
8,54.5600,54.5850,54.5400,54.5800,2019-05-01 09:38:00,1556717880000,5071
9,54.5400,54.5750,54.5400,54.5700,2019-05-01 09:39:00,1556717940000,4650
10,54.5400,54.5700,54.5200,54.5400,2019-05-01 09:40:00,1556718000000,4759
11,54.4800,54.5400,54.4800,54.5300,2019-05-01 09:41:00,1556718060000,6927
12,54.4300,54.4900,54.4300,54.4850,2019-05-01 09:42:00,1556718120000,8423
13,54.4600,54.4900,54.4400,54.4400,2019-05-01 09:43:00,1556718180000,5122
14,54.4300,54.4600,54.4300,54.4400,2019-05-01 09:44:00,1556718240000,4384
15,54.4500,54.4600,54.4100,54.4200,2019-05-01 09:45:00,1556718300000,6929
16,54.4700,54.4700,54.4300,54.4400,2019-05-01 09:46:00,1556718360000,9260
17,54.4300,54.4700,54.4300,54.4700,2019-05-01 09:47:00,1556718420000,11168
18,54.4800,54.4800,54.4150,54.4300,2019-05-01 09:48:00,1556718480000,8941
19,54.4300,54.5200,54.4300,54.4800,2019-05-01 09:49:00,1556718540000,13923
20,54.3700,54.4400,54.3550,54.4400,2019-05-01 09:50:00,1556718600000,11995
21,54.3800,54.4000,54.3600,54.3650,2019-05-01 09:51:00,1556718660000,5161
22,54.3700,54.4000,54.3700,54.3900,2019-05-01 09:52:00,1556718720000,6918
23,54.3300,54.3600,54.3200,54.3600,2019-05-01 09:53:00,1556718780000,6160
24,54.3100,54.3200,54.2900,54.3200,2019-05-01 09:54:00,1556718840000,7933
25,54.3500,54.3600,54.3180,54.3200,2019-05-01 09:55:00,1556718900000,4455
26,54.3600,54.3650,54.3300,54.3400,2019-05-01 09:56:00,1556718960000,6425
27,54.3709,54.4000,54.3650,54.3650,2019-05-01 09:57:00,1556719020000,5965
28,54.3200,54.3700,54.3150,54.3700,2019-05-01 09:58:00,1556719080000,11384
29,54.2900,54.3300,54.2900,54.3200,2019-05-01 09:59:00,1556719140000,5161
30,54.3300,54.3300,54.2200,54.2800,2019-05-01 10:00:00,1556719200000,9890
31,54.2700,54.3200,54.2700,54.3200,2019-05-01 10:01:00,1556719260000,4995
32,54.2850,54.2850,54.2450,54.2750,2019-05-01 10:02:00,1556719320000,10341
33,54.2450,54.2800,54.2350,54.2800,2019-05-01 10:03:00,1556719380000,5228
34,54.2350,54.2450,54.2100,54.2450,2019-05-01 10:04:00,1556719440000,9574
35,54.1950,54.2350,54.1900,54.2350,2019-05-01 10:05:00,1556719500000,6258
36,54.2350,54.2400,54.1900,54.2000,2019-05-01 10:06:00,1556719560000,5888
37,54.2200,54.2400,54.2100,54.2300,2019-05-01 10:07:00,1556719620000,6485
38,54.2800,54.3000,54.2250,54.2300,2019-05-01 10:08:00,1556719680000,16627
39,54.2800,54.3100,54.2700,54.2800,2019-05-01 10:09:00,1556719740000,12487
40,54.2600,54.3000,54.2600,54.2750,2019-05-01 10:10:00,1556719800000,7030
41,54.2600,54.2650,54.2250,54.2650,2019-05-01 10:11:00,1556719860000,8175
42,54.2650,54.2650,54.2500,54.2600,2019-05-01 10:12:00,1556719920000,4631
43,54.2650,54.2900,54.2550,54.2600,2019-05-01 10:13:00,1556719980000,6129
44,54.2550,54.2600,54.2550,54.2600,2019-05-01 10:14:00,1556720040000,705
45,54.2700,54.2700,54.2450,54.2522,2019-05-01 10:15:00,1556720100000,4512
46,54.2550,54.2800,54.2550,54.2700,2019-05-01 10:16:00,1556720160000,4469
47,54.2300,54.2700,54.2300,54.2550,2019-05-01 10:17:00,1556720220000,6694
48,54.2490,54.2500,54.2200,54.2400,2019-05-01 10:18:00,1556720280000,5663
49,54.2700,54.2700,54.2450,54.2500,2019-05-01 10:19:00,1556720340000,2300
50,54.2500,54.2750,54.2500,54.2750,2019-05-01 10:20:00,1556720400000,4400
51,54.2900,54.2900,54.2500,54.2500,2019-05-01 10:21:00,1556720460000,4721
52,54.3100,54.3200,54.2850,54.2850,2019-05-01 10:22:00,1556720520000,7131
53,54.3300,54.3400,54.3200,54.3200,2019-05-01 10:23:00,1556720580000,5046
54,54.3650,54.3700,54.3250,54.3250,2019-05-01 10:24:00,1556720640000,9622
55,54.3600,54.3700,54.3500,54.3700,2019-05-01 10:25:00,1556720700000,4456
56,54.3850,54.4000,54.3600,54.3653,2019-05-01 10:26:00,1556720760000,6168
57,54.3800,54.4000,54.3584,54.3900,2019-05-01 10:27:00,1556720820000,4197
58,54.4100,54.4170,54.3800,54.3800,2019-05-01 10:28:00,1556720880000,3400
59,54.4050,54.4200,54.3950,54.4100,2019-05-01 10:29:00,1556720940000,7252
60,54.4400,54.4400,54.4200,54.4200,2019-05-01 10:30:00,1556721000000,3544
61,54.4500,54.4500,54.4500,54.4500,2019-05-01 10:31:00,1556721060000,1810
