sr_no,close,high,low,open,tradeTime,volume,NASDAQ_Symbol
0,175.3,177.47,173.66,177.32,2018-03-19,33446771,AAPL
1,175.24,176.8,174.94,175.24,2018-03-20,19649350,AAPL
2,171.27,175.09,171.26,175.04,2018-03-21,37054935,AAPL
3,168.85,172.68,168.6,170,2018-03-22,41490767,AAPL
4,164.94,169.92,164.94,168.39,2018-03-23,41028784,AAPL
5,172.77,173.1,166.44,168.07,2018-03-26,37541236,AAPL
6,168.34,175.15,166.92,173.68,2018-03-27,40922579,AAPL
7,166.48,170.02,165.19,167.25,2018-03-28,41668545,AAPL
8,167.78,171.75,166.9,167.805,2018-03-29,38398505,AAPL
9,166.68,168.94,164.47,167.88,2018-04-02,37586791,AAPL
10,168.39,168.7455,164.88,167.64,2018-04-03,30278046,AAPL
11,171.61,172.01,164.77,164.88,2018-04-04,34605489,AAPL
12,172.8,174.2304,172.08,172.58,2018-04-05,26933197,AAPL
13,168.38,172.48,168.2,170.97,2018-04-06,35005290,AAPL
14,170.05,173.09,169.845,169.88,2018-04-09,29017718,AAPL
15,173.25,174,171.53,173,2018-04-10,28614241,AAPL
16,172.44,173.9232,171.7,172.23,2018-04-11,22431640,AAPL
17,174.14,175,173.04,173.41,2018-04-12,22889285,AAPL
18,174.73,175.84,173.85,174.78,2018-04-13,25124255,AAPL
19,175.82,176.19,174.8301,175.0301,2018-04-16,21529724,AAPL
20,178.24,178.9365,176.41,176.49,2018-04-17,26605442,AAPL
21,177.84,178.82,176.88,177.81,2018-04-18,20754538,AAPL
22,172.8,175.39,172.66,174.95,2018-04-19,34808800,AAPL
23,165.72,171.2184,165.43,170.595,2018-04-20,65491140,AAPL
24,165.24,166.92,164.09,166.8348,2018-04-23,36515477,AAPL
25,162.94,166.33,161.2201,165.67,2018-04-24,33692017,AAPL
26,163.65,165.42,162.41,162.62,2018-04-25,28382084,AAPL
27,164.22,165.73,163.37,164.12,2018-04-26,27963014,AAPL
28,162.32,164.33,160.63,164,2018-04-27,35655839,AAPL
29,165.26,167.26,161.84,162.1302,2018-04-30,42427424,AAPL
30,169.1,169.2,165.27,166.4102,2018-05-01,53569376,AAPL
31,176.57,177.75,173.8,175.225,2018-05-02,66539371,AAPL
32,176.89,177.5,174.4411,175.88,2018-05-03,34068180,AAPL
33,183.83,184.25,178.17,178.25,2018-05-04,56201317,AAPL
34,185.16,187.67,184.75,185.18,2018-05-07,42451423,AAPL
35,186.05,186.22,183.665,184.99,2018-05-08,28402777,AAPL
36,187.36,187.4,185.22,186.55,2018-05-09,23211241,AAPL
37,190.04,190.37,187.65,187.74,2018-05-10,27989289,AAPL
38,188.59,190.06,187.45,189.49,2018-05-11,26212221,AAPL
39,188.15,189.53,187.86,189.01,2018-05-14,20778772,AAPL
40,186.44,187.07,185.1,186.78,2018-05-15,23695159,AAPL
41,188.18,188.46,186,186.07,2018-05-16,19183064,AAPL
42,186.99,188.91,186.36,188,2018-05-17,17294029,AAPL
43,186.31,187.8102,186.13,187.19,2018-05-18,18297728,AAPL
44,187.63,189.27,186.9106,188,2018-05-21,18400787,AAPL
45,187.16,188.88,186.78,188.375,2018-05-22,15240704,AAPL
46,188.36,188.5,185.76,186.35,2018-05-23,20058415,AAPL
47,188.15,188.84,186.21,188.77,2018-05-24,23233975,AAPL
48,188.58,189.65,187.65,188.23,2018-05-25,17460963,AAPL
49,187.9,188.75,186.87,187.6,2018-05-29,22514075,AAPL
50,187.5,188,186.78,187.72,2018-05-30,18690547,AAPL
51,186.87,188.23,186.14,187.22,2018-05-31,27482793,AAPL
52,190.24,190.26,187.75,187.9912,2018-06-01,23442510,AAPL
53,191.83,193.42,191.35,191.635,2018-06-04,26266174,AAPL
54,193.31,193.94,192.36,193.065,2018-06-05,21565963,AAPL
55,193.98,194.08,191.92,193.63,2018-06-06,20933619,AAPL
56,193.46,194.2,192.335,194.14,2018-06-07,21347180,AAPL
57,191.7,192,189.77,191.17,2018-06-08,26656799,AAPL
58,191.23,191.97,190.21,191.35,2018-06-11,18308460,AAPL
59,192.28,192.611,191.15,191.385,2018-06-12,16911141,AAPL
60,190.7,192.88,190.44,192.42,2018-06-13,21638393,AAPL
61,190.8,191.57,190.22,191.55,2018-06-14,21610074,AAPL
62,188.84,190.16,188.26,190.03,2018-06-15,61719160,AAPL
63,188.74,189.22,187.2,187.88,2018-06-18,18484865,AAPL
64,185.69,186.33,183.45,185.14,2018-06-19,33578455,AAPL
65,186.5,187.2,185.73,186.35,2018-06-20,20628701,AAPL
66,185.46,188.35,184.94,187.25,2018-06-21,25711898,AAPL
67,184.92,186.15,184.7,186.12,2018-06-22,27200447,AAPL
68,182.17,184.92,180.73,183.4,2018-06-25,31663096,AAPL
69,184.43,186.53,182.54,182.99,2018-06-26,24569201,AAPL
70,184.16,187.28,184.03,185.2278,2018-06-27,25285328,AAPL
71,185.5,186.21,183.8,184.1,2018-06-28,17365235,AAPL
72,185.11,187.19,182.91,186.29,2018-06-29,22737666,AAPL
73,187.18,187.3,183.42,183.82,2018-07-02,17731343,AAPL
74,183.92,187.95,183.54,187.79,2018-07-03,13954806,AAPL
75,185.4,186.41,184.28,185.26,2018-07-05,16604248,AAPL
76,187.97,188.434,185.2,185.42,2018-07-06,17485245,AAPL
