sr_no,close,high,low,open,tradeTime,volume,NASDAQ_Symbol
0,157.35,159.8899,156.45,159.71,2018-03-19,5481983,IBM
1,156.2,157.93,155.29,157.52,2018-03-20,4336738,IBM
2,156.69,158.2,155.92,156.57,2018-03-21,3482184,IBM
3,152.09,155.2499,152,155,2018-03-22,4746349,IBM
4,148.89,152.58,148.541,152.25,2018-03-23,4440883,IBM
5,153.37,153.657,150.28,151.21,2018-03-26,4103904,IBM
6,151.91,154.8697,151.16,153.95,2018-03-27,3883745,IBM
7,152.52,153.86,151.89,152.07,2018-03-28,3664826,IBM
8,153.43,153.89,151.08,153.07,2018-03-29,3419959,IBM
9,150.07,153.38,148.43,153.34,2018-04-02,5150435,IBM
10,149.85,151,148.3,150.8,2018-04-03,4135696,IBM
11,154.12,154.47,147.45,147.89,2018-04-04,4805261,IBM
12,154.03,154.92,153.34,154.44,2018-04-05,3185388,IBM
13,150.57,153.95,149.54,153.46,2018-04-06,3672919,IBM
14,152.69,154.66,151.7433,151.8,2018-04-09,4413178,IBM
15,155.39,156.605,154.75,155.03,2018-04-10,3955952,IBM
16,155.36,155.78,153.88,154.37,2018-04-11,3306539,IBM
17,158.07,158.98,156.67,156.75,2018-04-12,5639444,IBM
18,156.71,159.22,155.91,158.67,2018-04-13,4057058,IBM
19,157.89,159.14,157.67,157.99,2018-04-16,4180047,IBM
20,160.91,162,158.51,158.82,2018-04-17,10207534,IBM
21,148.79,152.63,148.26,152.14,2018-04-18,20381695,IBM
22,147.7,149.2072,146.62,149.19,2018-04-19,8086056,IBM
23,144.9,147.97,144.51,147.9,2018-04-20,8265643,IBM
24,145.86,145.96,144.33,145.03,2018-04-23,5315625,IBM
25,145.56,147.3,144.53,146.51,2018-04-24,4916476,IBM
26,145.94,146.4,144.111,145.79,2018-04-25,7326379,IBM
27,146.72,147.36,146.2,146.6,2018-04-26,4265812,IBM
28,146.48,147.25,145.66,146.84,2018-04-27,3205482,IBM
29,144.96,147.38,144.96,146.86,2018-04-30,4415533,IBM
30,145,145.02,143.47,144.65,2018-05-01,4433393,IBM
31,142.45,144.82,142.07,144.46,2018-05-02,5194917,IBM
32,141.99,142.23,139.9,142.13,2018-05-03,5018592,IBM
33,143.91,144.35,140.28,141.1,2018-05-04,4402170,IBM
34,143.22,144.32,142.6403,144,2018-05-07,3657009,IBM
35,143,143.507,142.06,143,2018-05-08,5369119,IBM
36,142.61,143.02,141.28,141.9,2018-05-09,4195953,IBM
37,144.24,144.33,143.01,143.15,2018-05-10,3726608,IBM
38,144.14,144.85,143.58,144.11,2018-05-11,3073167,IBM
39,144.3,145.12,144.14,144.47,2018-05-14,3216062,IBM
40,143.74,143.99,142.92,143.5,2018-05-15,4089397,IBM
41,144.63,145.0275,143.27,143.7,2018-05-16,3168659,IBM
42,144.5,145.19,143.77,144.5,2018-05-17,3147659,IBM
43,144.08,144.94,143.99,144.47,2018-05-18,2682243,IBM
44,145.49,146.04,144.68,144.95,2018-05-21,2894698,IBM
45,145.09,146.204,145,145.52,2018-05-22,2284020,IBM
46,144.67,144.7,143.48,144.35,2018-05-23,3459747,IBM
47,144.07,144.48,142.95,144.39,2018-05-24,3398701,IBM
48,143.64,144.57,143.46,143.9,2018-05-25,4914294,IBM
49,141.22,142.89,140.21,142.53,2018-05-29,4537638,IBM
50,142.62,143.1,141.82,141.9,2018-05-30,5118530,IBM
51,141.31,142.81,141.05,142.81,2018-05-31,6830256,IBM
52,141.95,142.84,141.62,142.43,2018-06-01,3857530,IBM
53,143.04,143.17,142.18,142.3,2018-06-04,3035257,IBM
54,143.7,144.08,143.04,143.05,2018-06-05,2836017,IBM
55,144.71,144.72,143.54,144.34,2018-06-06,3220139,IBM
56,145.36,146.7,144.93,145,2018-06-07,4316484,IBM
57,146.14,146.43,144.37,145,2018-06-08,5210468,IBM
58,146.58,147.41,146.14,146.62,2018-06-11,3259986,IBM
59,146.87,147.52,146.62,147.1,2018-06-12,2640515,IBM
60,146.35,147.47,146.2,146.79,2018-06-13,2968180,IBM
61,145.2,146.98,145.09,146.65,2018-06-14,3326343,IBM
62,145.39,145.47,143.7,144.9,2018-06-15,9116048,IBM
63,144.48,144.52,143.14,144.18,2018-06-18,4286406,IBM
64,143.9,144.22,142.95,143.12,2018-06-19,3487015,IBM
65,142.63,144.52,142.41,144.22,2018-06-20,3329917,IBM
66,141.25,143.14,140.83,142.59,2018-06-21,3887650,IBM
67,141.28,141.81,140.78,141.64,2018-06-22,6013678,IBM
68,138.79,140.4,138.28,140.4,2018-06-25,8937085,IBM
69,139.08,139.8499,138.33,139.36,2018-06-26,4139455,IBM
70,137.48,139.78,137.45,139.11,2018-06-27,4101828,IBM
71,140.04,140.54,137.945,138.1,2018-06-28,4523666,IBM
72,139.7,141.359,139.61,140.32,2018-06-29,3753684,IBM
73,139.86,140.22,138.2,138.28,2018-07-02,3405642,IBM
74,139.57,140.94,139.3678,140.65,2018-07-03,1963232,IBM
75,141.43,141.43,139.93,140.48,2018-07-05,3744730,IBM
76,142.48,142.94,141.17,141.53,2018-07-06,2910426,IBM
77,144.39,144.72,142.47,142.59,2018-07-09,3904652,IBM
78,144.71,145.59,144.255,144.51,2018-07-10,3776991,IBM
79,144.94,146.19,144,144,2018-07-11,3526565,IBM
80,146.45,146.83,145.74,145.85,2018-07-12,3119505,IBM
81,145.9,146.9799,145.8,146.45,2018-07-13,3067638,IBM
82,145.46,145.79,144.21,145.67,2018-07-16,3468817,IBM
83,143.49,145,143.34,144.75,2018-07-17,5096741,IBM
84,144.52,144.8,142.7351,143.51,2018-07-18,6935288,IBM
85,149.24,150.54,147.25,147.85,2018-07-19,14655804,IBM
86,146.35,148.86,146.26,148.58,2018-07-20,6415972,IBM
87,145.7,146.7,145.015,146.35,2018-07-23,3897892,IBM
88,146.38,147.04,145.92,146.7,2018-07-24,3891625,IBM
89,146.62,146.65,145.5,146.01,2018-07-25,3623182,IBM
90,146.71,149.27,146.63,147.43,2018-07-26,4778022,IBM
91,145.15,147.14,144.66,146.89,2018-07-27,3749642,IBM
92,145.49,146.24,144.69,144.8,2018-07-30,3608283,IBM
93,144.93,145.8,144.159,145.74,2018-07-31,5474478,IBM
94,143.5,145.19,143.34,144.76,2018-08-01,3388386,IBM
95,142.96,143.36,142.33,142.86,2018-08-02,3841447,IBM
96,147.7,147.92,143,143.24,2018-08-03,8053567,IBM
97,146.03,147.2,145.57,146.95,2018-08-06,3913743,IBM
98,147.01,147.64,146.35,146.65,2018-08-07,3508758,IBM
99,146.89,147.43,146.24,147.33,2018-08-08,3581746,IBM
100,144.77,145.94,144.73,145.53,2018-08-09,3093504,IBM
101,144.48,145.07,143.88,144.5,2018-08-10,3003158,IBM
102,142.71,144.3,142.53,144.15,2018-08-13,2858842,IBM
103,143.36,143.82,142.93,143,2018-08-14,2860041,IBM
104,143.91,144,142,142.55,2018-08-15,4241496,IBM
105,145.34,145.68,144.37,144.37,2018-08-16,5250878,IBM
106,146.06,146.39,144.69,144.79,2018-08-17,2678820,IBM
107,146.51,147.16,146.15,146.37,2018-08-20,2499654,IBM
108,145.97,147.12,145.89,147,2018-08-21,3106876,IBM
109,145.24,146.16,145.19,146.01,2018-08-22,2388961,IBM
110,145.37,145.52,144.75,145.04,2018-08-23,2220603,IBM
111,146.04,146.0869,144.87,145.46,2018-08-24,2776813,IBM
112,146.69,147.62,146.52,146.94,2018-08-27,3491565,IBM
113,146.59,146.99,146.19,146.95,2018-08-28,2455328,IBM
114,147.54,147.93,146.6,146.87,2018-08-29,3153845,IBM
115,145.93,147.3,145.25,147.03,2018-08-30,3340369,IBM
116,146.48,146.78,145.5401,145.72,2018-08-31,3488476,IBM
117,145.68,146.19,144.81,145.98,2018-09-04,3326153,IBM
118,146.66,146.75,145.05,145.19,2018-09-05,3126540,IBM
119,146.39,147.66,145.54,146.88,2018-09-06,4248831,IBM
120,145.45,146.5031,145.12,145.94,2018-09-07,4693127,IBM
121,145.65,147.3,145.56,146.6,2018-09-10,3618292,IBM
122,146.49,146.99,145.25,146,2018-09-11,3374774,IBM
123,146.57,147.98,146.03,146.37,2018-09-12,4506679,IBM
124,148.95,149,147.1179,147.35,2018-09-13,5346540,IBM
125,148.33,149.3,147.78,148.85,2018-09-14,3452144,IBM
126,147.94,149.07,147.77,148.44,2018-09-17,3551882,IBM
127,148.56,148.985,147.47,147.76,2018-09-18,3629596,IBM
128,149.06,149.9599,148.23,148.63,2018-09-19,4246382,IBM
129,151.15,151.38,149.44,149.58,2018-09-20,5952223,IBM
130,151.35,152.6,150.74,151.48,2018-09-21,19947878,IBM
131,150.03,151.2,149.46,151.1,2018-09-24,4264984,IBM
132,148.91,150.41,148.36,149.91,2018-09-25,4397457,IBM
133,151.61,153.35,151.34,152.4,2018-09-26,7401862,IBM
134,151.5,152.3888,151.16,152.01,2018-09-27,3477643,IBM
135,151.21,151.625,150.79,151.16,2018-09-28,3305798,IBM
136,153,153.42,151.71,151.71,2018-10-01,3757419,IBM
137,153.75,153.84,152.5,152.99,2018-10-02,3030125,IBM
138,153.22,154.36,152.8,154,2018-10-03,3315298,IBM
139,151.31,152.8,150.36,151.69,2018-10-04,4238143,IBM
140,149.03,151.79,147.87,150.9,2018-10-05,4602252,IBM
141,148.39,149.07,147.18,148.5,2018-10-08,3239347,IBM
142,147.24,148.36,146.93,148.08,2018-10-09,3642496,IBM
143,142.69,147.69,142.5,147.5,2018-10-10,5547697,IBM
144,139.02,144.19,138.78,142.62,2018-10-11,8710491,IBM
145,140.85,141.54,139.08,141.12,2018-10-12,6563403,IBM
146,141.13,142.26,140.14,140.38,2018-10-15,4965533,IBM
147,145.12,145.45,141.58,142.93,2018-10-16,8695489,IBM
148,134.05,137.15,133.4193,135.89,2018-10-17,19463962,IBM
149,130.55,133.4,130.04,132.73,2018-10-18,10011678,IBM
150,129.1,131.89,127.96,130.65,2018-10-19,7791636,IBM
151,130.02,130.4379,128.4,129.58,2018-10-22,5719518,IBM
152,131.21,131.9,128.41,129.02,2018-10-23,6463580,IBM
153,127.21,131.69,127,131.17,2018-10-24,5710320,IBM
154,126.45,127.79,125.14,127.25,2018-10-25,10304327,IBM
